# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	512
#@/user_id	rime
shi li 	示例	c=1 d=0.951229 t=512
shi pin 	視頻	c=1 d=0.255381 t=512
shi ti dian 	實體店	c=2 d=1.67911 t=512
shi yong 	使用	c=1 d=0.311923 t=512
shi yong 	適用	c=1 d=0.310367 t=512
shou 	手	c=1 d=0.909373 t=512
shou gan 	手感	c=1 d=0.891366 t=512
shou ji 	手機	c=1 d=0.790571 t=512
shu ju 	數據	c=1 d=0.318224 t=512
shu ju ku 	數據庫	c=4 d=1.46988 t=512
shu ju ku luo de si dao 	數據庫羅得斯島	c=1 d=0.985112 t=512
shu ru fa 	輸入法	c=3 d=1.41657 t=512
shu xu guan 	鼠鬚管	c=3 d=1.67964 t=512
shua xin 	刷新	c=1 d=0.396531 t=512
shuo guo 	說過	c=0 d=0.0704688 t=512
si 	死	c=0 d=0.0697676 t=512
si ke da 	斯柯達	c=1 d=0.537944 t=512
suo xu 	所需	c=1 d=0.366045 t=512
suo yi 	所以	c=1 d=0.29523 t=512
ta 	他	c=1 d=0.806541 t=512
ta ru 	踏入	c=2 d=1.07074 t=512
tong wen 	同文	c=1 d=0.477114 t=512
tui you 	推油	c=1 d=0.261846 t=512
wan 	玩	c=1 d=0.217621 t=512
wan bi 	完畢	c=1 d=0.559898 t=512
wei 	爲	c=2 d=0.715279 t=512
wen 	問	c=2 d=0.758714 t=512
wen 	文	c=1 d=0.532592 t=512
wen jian 	文件	c=1 d=0.955997 t=512
wen shan 	文山	c=1 d=0.615697 t=512
wen ti 	問題	c=1 d=0.244143 t=512
wo 	我	c=1 d=0.631284 t=512
wo bu 	我不	c=0 d=0.0965605 t=512
wo bu yong 	我不用	c=1 d=0.970446 t=512
wo men 	我們	c=2 d=1.43069 t=512
wo qu 	我去	c=2 d=0.847894 t=512
wo shuo 	我說	c=1 d=0.715338 t=512
wo zai 	我在	c=1 d=0.650509 t=512
www www www www www www 	World Wide WebWorld Wide WebWorld Wide WebWorld Wide WebWorld Wide WebWorld Wide Web	c=1 d=0.226502 t=512
xi lie 	系列	c=1 d=1 t=491
xi zhuang 	西裝	c=1 d=0.878095 t=512
xia zai 	下載	c=5 d=1.5429 t=512
xian chang 	現場	c=1 d=0.241714 t=512
xian zai 	現在	c=2 d=0.815955 t=512
xiao qing wa 	小青蛙	c=1 d=0.205975 t=512
xiao shuo 	小說	c=1 d=0.965605 t=512
xie 	寫	c=1 d=0.527292 t=512
xin 	新	c=1 d=0.869358 t=512
xing 	星	c=1 d=0.810584 t=512
xing jia bi 	性價比	c=1 d=0.895834 t=512
xu yao 	需要	c=2 d=0.876553 t=512
xuan ze 	選擇	c=3 d=1.08644 t=512
ya suo bao 	壓縮包	c=2 d=0.930159 t=512
yao 	要	c=2 d=1.64008 t=512
yao gui fan 	要規範	c=1 d=0.22313 t=512
yao qu 	要去	c=1 d=0.822835 t=512
ye ke yi 	也可以	c=2 d=0.771052 t=512
yi 	一	c=1 d=0.67368 t=512
yi 	以	c=3 d=1.61614 t=512
yi xia 	以下	c=2 d=1.59903 t=512
yi zhong 	一種	c=2 d=0.8422 t=512
yin chun 	陰脣	c=2 d=1.99501 t=509
yong 	用	c=1 d=0.32429 t=512
yong hu 	用戶	c=3 d=0.910757 t=512
yong tu 	用途	c=1 d=0.514274 t=512
yong yu 	用於	c=1 d=0.509156 t=512
you 	有	c=2 d=0.787847 t=512
you hua 	優化	c=1 d=0.33454 t=512
yuan 	源	c=1 d=1 t=512
yue mu 	岳母	c=1 d=0.960789 t=512
yun wei 	運維	c=1 d=0.246597 t=512
za yang 	咋樣	c=1 d=0.701173 t=512
zai 	在	c=4 d=2.48989 t=512
zai kun ming 	在昆明	c=1 d=0.606531 t=512
zai shuo 	再說	c=1 d=0.718924 t=512
zai xian 	在線	c=2 d=1.956 t=504
zhan lve 	戰略	c=1 d=0.38868 t=512
zhang mu niang 	丈母娘	c=2 d=1.95064 t=512
zhao 	找	c=1 d=0.748264 t=512
zhe bian 	這邊	c=1 d=0.657047 t=512
zhe duan shi jian 	這段時間	c=2 d=0.828285 t=512
zhe ge 	這個	c=2 d=0.694197 t=512
zhe li 	這裏	c=2 d=0.759602 t=512
zhe zhong 	這種	c=1 d=0.722527 t=512
zheng dun 	整頓	c=1 d=0.22091 t=512
zhi bo 	直播	c=1 d=1 t=492
zhi chi 	支持	c=1 d=0.321422 t=512
zhi hou 	之後	c=1 d=0.57695 t=512
zhi liao 	知了	c=1 d=0.194952 t=512
zhi wen 	指紋	c=1 d=0.904837 t=512
zhi xing 	執行	c=1 d=0.444858 t=512
zhong guo 	中國	c=1 d=1 t=507
zhong wen 	中文	c=1 d=0.597501 t=512
zhu 	祝	c=1 d=0.932394 t=512
zhuan 	轉	c=1 d=0.790571 t=512
zhun bei 	準備	c=1 d=0.286505 t=512
zi hao 	字號	c=1 d=1 t=481
zi ji 	自己	c=2 d=1.66777 t=512
zi ti 	字體	c=1 d=1 t=482
zi wei 	自慰	c=3 d=2.90737 t=505
zui zhan 	最佔	c=1 d=0.818731 t=512
zuo zhe 	作者	c=1 d=0.484325 t=512
